input,cost_algo2i,output_algo2i,runtime_algo2i
"[1, 2, 3]-[2, 1, 3]-[3, 1, 2]",2,"['[(1, 3), (2, 3)]', '[(1, 2), (3, 1), (3, 2)]']",5.919e-05
"[1, 2, 3]-[2, 1, 3]-[3, 2, 1]",2,"['[(1, 3), (2, 3)]', '[(2, 1), (3, 1), (3, 2)]']",5.883e-05
"[1, 2, 3]-[2, 3, 1]-[3, 1, 2]",3,"['[(1, 2), (1, 3), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",6.023e-05
"[1, 2, 3]-[2, 3, 1]-[3, 2, 1]",2,"['[(1, 2), (1, 3), (2, 3)]', '[(2, 1), (3, 1)]']",7.352e-05
"[1, 2, 3]-[3, 1, 2]-[3, 2, 1]",2,"['[(1, 2), (1, 3), (2, 3)]', '[(3, 1), (3, 2)]']",7.673e-05
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]",2,"['[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (2, 3)]']",8.094e-05
"[1, 3, 2]-[2, 1, 3]-[3, 1, 2]",2,"['[(1, 2), (3, 2)]', '[(1, 3), (2, 1), (2, 3)]']",6.753e-05
"[1, 3, 2]-[2, 1, 3]-[3, 2, 1]",3,"['[(1, 2), (1, 3), (3, 2)]', '[(1, 3), (2, 1), (2, 3)]', '[(2, 1), (3, 1), (3, 2)]']",5.934e-05
"[1, 3, 2]-[2, 3, 1]-[3, 1, 2]",2,"['[(1, 2), (3, 2)]', '[(2, 1), (2, 3), (3, 1)]']",6.545e-05
"[1, 3, 2]-[2, 3, 1]-[3, 2, 1]",2,"['[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (3, 1)]']",7.038e-05
"[1, 3, 2]-[3, 1, 2]-[3, 2, 1]",2,"['[(1, 2), (3, 2)]', '[(2, 1), (3, 1), (3, 2)]']",5.998e-05
"[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",2,"['[(2, 1), (2, 3)]', '[(1, 2), (3, 1), (3, 2)]']",5.962e-05
"[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",2,"['[(2, 1), (2, 3)]', '[(2, 1), (3, 1), (3, 2)]']",5.908e-05
"[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",2,"['[(1, 3), (2, 1), (2, 3)]', '[(3, 1), (3, 2)]']",6.94e-05
"[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",2,"['[(2, 1), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",6.444e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]",2,"['[(1, 2), (1, 3)]', '[(2, 1), (2, 3)]']",9.26e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[3, 1, 2]",3,"['[(1, 2), (1, 3)]', '[(1, 3), (2, 1), (2, 3)]', '[(1, 2), (3, 1), (3, 2)]']",8.703e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[3, 2, 1]",3,"['[(1, 2), (1, 3)]', '[(1, 3), (2, 1), (2, 3)]', '[(2, 1), (3, 1), (3, 2)]']",8.915e-05
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]-[3, 1, 2]",3,"['[(1, 2), (1, 3)]', '[(2, 1), (2, 3), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",8.753e-05
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]-[3, 2, 1]",2,"['[(1, 2), (1, 3)]', '[(2, 1), (3, 1)]']",8.393e-05
"[1, 2, 3]-[1, 3, 2]-[3, 1, 2]-[3, 2, 1]",2,"['[(1, 2), (1, 3)]', '[(3, 1), (3, 2)]']",8.224e-05
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",3,"['[(1, 3), (2, 3)]', '[(2, 1), (2, 3), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",8.598e-05
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",2,"['[(1, 3), (2, 3)]', '[(2, 1), (3, 1)]']",8.292e-05
"[1, 2, 3]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",2,"['[(1, 3), (2, 3)]', '[(3, 1), (3, 2)]']",8.259e-05
"[1, 2, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",3,"['[(1, 2), (1, 3), (2, 3)]', '[(2, 1), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",9.835e-05
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",2,"['[(1, 2), (3, 2)]', '[(2, 1), (2, 3)]']",9.369e-05
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",3,"['[(1, 2), (1, 3), (3, 2)]', '[(2, 1), (2, 3)]', '[(2, 1), (3, 1), (3, 2)]']",0.00010592
"[1, 3, 2]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",3,"['[(1, 2), (3, 2)]', '[(1, 3), (2, 1), (2, 3)]', '[(2, 1), (3, 1), (3, 2)]']",8.967e-05
"[1, 3, 2]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",2,"['[(1, 2), (3, 2)]', '[(2, 1), (3, 1)]']",8.796e-05
"[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",2,"['[(2, 1), (2, 3)]', '[(3, 1), (3, 2)]']",8.266e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",3,"['[(1, 2), (1, 3)]', '[(2, 1), (2, 3)]', '[(1, 2), (3, 1), (3, 2)]']",0.00010191
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",3,"['[(1, 2), (1, 3)]', '[(2, 1), (2, 3)]', '[(2, 1), (3, 1), (3, 2)]']",0.00010249
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",3,"['[(1, 2), (1, 3)]', '[(1, 3), (2, 1), (2, 3)]', '[(3, 1), (3, 2)]']",0.00011203
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",3,"['[(1, 2), (1, 3)]', '[(2, 1), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",0.00011272
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",3,"['[(1, 3), (2, 3)]', '[(2, 1), (3, 1)]', '[(1, 2), (3, 1), (3, 2)]']",0.00011986
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",3,"['[(1, 2), (3, 2)]', '[(2, 1), (2, 3)]', '[(2, 1), (3, 1), (3, 2)]']",0.00011084
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",3,"['[(1, 2), (1, 3)]', '[(2, 1), (2, 3)]', '[(3, 1), (3, 2)]']",0.0001273
