input,cost_algo1,output_algo1,runtime_algo1
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]",2,"['[(1, 3), (3, 2)]', '[(2, 1), (2, 3)]']",8.21e-05
"[1, 3, 2]-[2, 1, 3]-[3, 1, 2]",2,"['[(1, 2), (3, 2)]', '[(1, 3), (2, 1)]']",7.14e-05
"[1, 3, 2]-[2, 1, 3]-[3, 2, 1]",3,"['[(1, 3), (3, 2)]', '[(1, 3), (2, 1)]', '[(2, 1), (3, 2)]']",8.03e-05
"[1, 3, 2]-[2, 3, 1]-[3, 1, 2]",2,"['[(1, 2), (3, 2)]', '[(2, 3), (3, 1)]']",0.0001157
"[1, 3, 2]-[2, 3, 1]-[3, 2, 1]",2,"['[(1, 3), (3, 2)]', '[(2, 1), (3, 1)]']",0.0001716
"[1, 3, 2]-[3, 1, 2]-[3, 2, 1]",2,"['[(3, 2)]', '[(2, 1), (3, 2)]']",0.0002142
"[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",2,"['[(2, 1), (2, 3)]', '[(1, 2), (3, 1)]']",9.1e-05
"[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",2,"['[(2, 1)]', '[(2, 1), (3, 2)]']",0.0001102
"[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",2,"['[(1, 3), (2, 1)]', '[(3, 1), (3, 2)]']",8.14e-05
"[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",2,"['[(3, 1)]', '[(1, 2), (3, 1)]']",0.0001108
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]",2,"['[(1, 3)]', '[(2, 1), (2, 3)]']",8.68e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[3, 1, 2]",2,"['[(1, 3)]', '[(1, 2), (3, 1)]']",9.09e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[3, 2, 1]",3,"['[(1, 3)]', '[(1, 3), (2, 1)]', '[(2, 1), (3, 2)]']",0.0001343
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]-[3, 1, 2]",3,"['[(1, 2)]', '[(2, 3), (3, 1)]', '[(1, 2), (3, 1)]']",0.0001217
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]-[3, 2, 1]",2,"['[(1, 2), (1, 3)]', '[(2, 1), (3, 1)]']",9.44e-05
"[1, 2, 3]-[1, 3, 2]-[3, 1, 2]-[3, 2, 1]",2,"['[(1, 2)]', '[(3, 1), (3, 2)]']",0.0001149
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",3,"['[(2, 3)]', '[(2, 3), (3, 1)]', '[(1, 2), (3, 1)]']",7.79e-05
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",2,"['[(2, 3)]', '[(2, 1), (3, 1)]']",0.0001055
"[1, 2, 3]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",2,"['[(1, 3), (2, 3)]', '[(3, 1), (3, 2)]']",8.66e-05
"[1, 2, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",3,"['[(1, 2), (2, 3)]', '[(3, 1)]', '[(1, 2), (3, 1)]']",8.08e-05
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",2,"['[(1, 2), (3, 2)]', '[(2, 1), (2, 3)]']",7.52e-05
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",3,"['[(1, 3), (3, 2)]', '[(2, 1)]', '[(2, 1), (3, 2)]']",7.53e-05
"[1, 3, 2]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",3,"['[(3, 2)]', '[(1, 3), (2, 1)]', '[(2, 1), (3, 2)]']",0.0001132
"[1, 3, 2]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",2,"['[(3, 2)]', '[(2, 1), (3, 1)]']",0.0001039
"[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",2,"['[(2, 1)]', '[(3, 1), (3, 2)]']",7.55e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]",3,"['[(1, 3)]', '[(2, 3), (3, 1)]', '[(1, 2), (3, 1)]']",0.0001492
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 2, 1]",3,"['[(1, 3)]', '[(2, 1)]', '[(2, 1), (3, 2)]']",9.43e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[3, 1, 2]-[3, 2, 1]",2,"['[(1, 3)]', '[(3, 1), (3, 2)]']",0.0001499
"[1, 2, 3]-[1, 3, 2]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",3,"['[(1, 2)]', '[(3, 1)]', '[(1, 2), (3, 1)]']",0.0001009
"[1, 2, 3]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",3,"['[(2, 3)]', '[(3, 1)]', '[(1, 2), (3, 1)]']",0.0001113
"[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",3,"['[(3, 2)]', '[(2, 1)]', '[(2, 1), (3, 2)]']",8.87e-05
"[1, 2, 3]-[1, 3, 2]-[2, 1, 3]-[2, 3, 1]-[3, 1, 2]-[3, 2, 1]",1,['[]'],0.0002028
